"S No","Date","Acknowledged","Category","Location","Source","Current State","To Do","Duration","Description","Acknowledge Comments"
"19","7/23/2025 11:31:14","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 70/Second Floor/70-209 FH-6 (FH-0238)","COMM_VAL","Normal","" ,"","COMM_VAL: Invalid Communications Alarm has returned to normal at Building 70 / Second Floor / 70-209 FH-6 (FH-0238) / COMM_VAL.
COMM_VAL: Invalid Communications Alarm has returned to normal at Building 70 / Second Floor / 70-209 FH-6 (FH-0238) / COMM_VAL.
$Main LBNL Campus / Building 70 / Second Floor / 70-209 FH-6 (FH-0238) / COMM_VAL","" 
"20","7/23/2025 11:31:13","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 70/Second Floor/70-209 FH-7 (FH-0239)","COMM_VAL","Normal","" ,"","COMM_VAL: Invalid Communications Alarm has returned to normal at Building 70 / Second Floor / 70-209 FH-7 (FH-0239) / COMM_VAL.
COMM_VAL: Invalid Communications Alarm has returned to normal at Building 70 / Second Floor / 70-209 FH-7 (FH-0239) / COMM_VAL.
$Main LBNL Campus / Building 70 / Second Floor / 70-209 FH-7 (FH-0239) / COMM_VAL","" 
"21","7/23/2025 11:31:13","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 66/Second Floor/Lab 225/VAV-025 (Parent)","RMP_HI","Offnormal","Return","","RMP_HI: High Room Pressure Alarm is active at Second Floor / Lab 225 / VAV-025 (Parent) / RMP_HI.
RMP_HI: High Room Pressure Alarm is active at Second Floor / Lab 225 / VAV-025 (Parent) / RMP_HI.
Main LBNL Campus / Building 66 / Second Floor / Lab 225 / VAV-025 (Parent) / RMP_HI","" 
"22","7/23/2025 11:31:09","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 70/Second Floor/70-209 FH-8 (FH-0240)","COMM_VAL","Normal","" ,"","COMM_VAL: Invalid Communications Alarm has returned to normal at Building 70 / Second Floor / 70-209 FH-8 (FH-0240) / COMM_VAL.
COMM_VAL: Invalid Communications Alarm has returned to normal at Building 70 / Second Floor / 70-209 FH-8 (FH-0240) / COMM_VAL.
$Main LBNL Campus / Building 70 / Second Floor / 70-209 FH-8 (FH-0240) / COMM_VAL","" 
"23","7/23/2025 11:31:08","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 70/Second Floor/70-203 FH-5 (FH-0227)","COMM_VAL","Normal","" ,"","COMM_VAL: Invalid Communications Alarm has returned to normal at Building 70 / Second Floor / 70-203 FH-5 (FH-0227) / COMM_VAL.
COMM_VAL: Invalid Communications Alarm has returned to normal at Building 70 / Second Floor / 70-203 FH-5 (FH-0227) / COMM_VAL.
$Main LBNL Campus / Building 70 / Second Floor / 70-203 FH-5 (FH-0227) / COMM_VAL","" 
"24","7/23/2025 11:31:07","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 70/Second Floor/70-203 FH-6 (FH-0228)","COMM_VAL","Normal","" ,"","COMM_VAL: Invalid Communications Alarm has returned to normal at Building 70 / Second Floor / 70-203 FH-6 (FH-0228) / COMM_VAL.
COMM_VAL: Invalid Communications Alarm has returned to normal at Building 70 / Second Floor / 70-203 FH-6 (FH-0228) / COMM_VAL.
$Main LBNL Campus / Building 70 / Second Floor / 70-203 FH-6 (FH-0228) / COMM_VAL","" 
"25","7/23/2025 11:28:39","Not Required","Level 3 Alarm","/Main LBNL Campus/Trailers 71C,D,F,J,K/71D-AC-4","ZONE_LOLO","Normal","" ,"","ZONE_LOLO: Low Low Zone Temp Alarm has returned to normal at Main LBNL Campus / Trailers 71C,D,F,J,K / 71D-AC-4 / ZONE_LOLO.
ZONE_LOLO: Low Low Zone Temp Alarm has returned to normal at Main LBNL Campus / Trailers 71C,D,F,J,K / 71D-AC-4 / ZONE_LOLO.
$Main LBNL Campus / Trailers 71C,D,F,J,K / 71D-AC-4 / ZONE_LOLO","" 
"26","7/23/2025 11:23:50","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 71/First Floor/71-AC-5","SF_FAIL","Normal","" ,"","SF_FAIL: Supply Fan Failure Alarm has returned to normal at Building 71 / First Floor / 71-AC-5 / SF_FAIL.
SF_FAIL: Supply Fan Failure Alarm has returned to normal at Building 71 / First Floor / 71-AC-5 / SF_FAIL.
$Main LBNL Campus / Building 71 / First Floor / 71-AC-5 / SF_FAIL","" 
"27","7/23/2025 11:22:47","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 84/HW System Summary/BLR 84-BR-007","HWS_LO","Normal","" ,"","HWS_LO: Low HWS Temp Alarm has returned to normal at Building 84 / HW System Summary / BLR 84-BR-007 / HWS_LO.
HWS_LO: Low HWS Temp Alarm has returned to normal at Building 84 / HW System Summary / BLR 84-BR-007 / HWS_LO.
$Main LBNL Campus / Building 84 / HW System Summary / BLR 84-BR-007 / HWS_LO","" 
"28","7/23/2025 11:19:49","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 84/HW System Summary/BLR 84-BR-010","HWS_LO","Normal","" ,"","HWS_LO: Low HWS Temp Alarm has returned to normal at Building 84 / HW System Summary / BLR 84-BR-010 / HWS_LO.
HWS_LO: Low HWS Temp Alarm has returned to normal at Building 84 / HW System Summary / BLR 84-BR-010 / HWS_LO.
$Main LBNL Campus / Building 84 / HW System Summary / BLR 84-BR-010 / HWS_LO","" 
"29","7/23/2025 11:18:29","Not Required","Level 3 Alarm","/Main LBNL Campus/Trailers 71C,D,F,J,K/71D-AC-3","ZONE_LOLO","Normal","" ,"","ZONE_LOLO: Low Low Zone Temp Alarm has returned to normal at Main LBNL Campus / Trailers 71C,D,F,J,K / 71D-AC-3 / ZONE_LOLO.
ZONE_LOLO: Low Low Zone Temp Alarm has returned to normal at Main LBNL Campus / Trailers 71C,D,F,J,K / 71D-AC-3 / ZONE_LOLO.
$Main LBNL Campus / Trailers 71C,D,F,J,K / 71D-AC-3 / ZONE_LOLO","" 
"30","7/23/2025 11:16:07","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 66/Second Floor/Lab 225/VAV-025 (Parent)","RMP_HI","Normal","" ,"","RMP_HI: High Room Pressure Alarm has returned to normal at Second Floor / Lab 225 / VAV-025 (Parent) / RMP_HI.
RMP_HI: High Room Pressure Alarm has returned to normal at Second Floor / Lab 225 / VAV-025 (Parent) / RMP_HI.
$Main LBNL Campus / Building 66 / Second Floor / Lab 225 / VAV-025 (Parent) / RMP_HI","" 
"31","7/23/2025 11:15:46","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 66/Second Floor/Lab 225/VAV-025 (Parent)","RMP_HI","Offnormal","" ,"00:00:21","RMP_HI: High Room Pressure Alarm is active at Second Floor / Lab 225 / VAV-025 (Parent) / RMP_HI.
RMP_HI: High Room Pressure Alarm is active at Second Floor / Lab 225 / VAV-025 (Parent) / RMP_HI.
Main LBNL Campus / Building 66 / Second Floor / Lab 225 / VAV-025 (Parent) / RMP_HI","" 
"32","7/23/2025 11:11:45","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 71/Second Floor/71-AC-8","SF_FAIL","Normal","" ,"","SF_FAIL: Supply Fan Failure Alarm has returned to normal at Building 71 / Second Floor / 71-AC-8 / SF_FAIL.
SF_FAIL: Supply Fan Failure Alarm has returned to normal at Building 71 / Second Floor / 71-AC-8 / SF_FAIL.
$Main LBNL Campus / Building 71 / Second Floor / 71-AC-8 / SF_FAIL","" 
"33","7/23/2025 11:09:38","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 55/First Floor/55-BL-45, 46 (Lab CV Exhaust)","ESTP_HI","Normal","" ,"","ESTP_HI: High EA Static Pressure Alarm has returned to normal at Building 55 / First Floor / 55-BL-45, 46 (Lab CV Exhaust) / ESTP_HI.
ESTP_HI: High EA Static Pressure Alarm has returned to normal at Building 55 / First Floor / 55-BL-45, 46 (Lab CV Exhaust) / ESTP_HI.
$Main LBNL Campus / Building 55 / First Floor / 55-BL-45, 46 (Lab CV Exhaust) / ESTP_HI","" 
"34","7/23/2025 11:02:19","Not Required","Level 3 Alarm","/Main LBNL Campus/Building 71/First Floor/71-AHU-28","FC11_ALARM","Normal","" ,"","FC11_ALARM: FC #11: OAT is too low for mechanical cooling has returned to normal at Building 71 / First Floor / 71-AHU-28 / FC11_ALARM.
FC11_ALARM: FC #11: OAT is too low for mechanical cooling has returned to normal at Building 71 / First Floor / 71-AHU-28 / FC11_ALARM.
$Main LBNL Campus / Building 71 / First Floor / 71-AHU-28 / FC11_ALARM","" 
"35","7/23/2025 11:00:32","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 71/First Floor/71-AC-5","SF_FAIL","Normal","" ,"","SF_FAIL: Supply Fan Failure Alarm has returned to normal at Building 71 / First Floor / 71-AC-5 / SF_FAIL.
SF_FAIL: Supply Fan Failure Alarm has returned to normal at Building 71 / First Floor / 71-AC-5 / SF_FAIL.
$Main LBNL Campus / Building 71 / First Floor / 71-AC-5 / SF_FAIL","" 
"36","7/23/2025 10:57:24","Not Required","Level 3 Alarm","/Main LBNL Campus/Building 71/First Floor/71-AHU-28","FC11_ALARM","Offnormal","" ,"00:04:55","FC11_ALARM: FC #11: OAT is too low for mechanical cooling is active at Building 71 / First Floor / 71-AHU-28 / FC11_ALARM.
FC11_ALARM: FC #11: OAT is too low for mechanical cooling is active at Building 71 / First Floor / 71-AHU-28 / FC11_ALARM.
Main LBNL Campus / Building 71 / First Floor / 71-AHU-28 / FC11_ALARM","" 
"37","7/23/2025 10:53:39","Not Required","Level 3 Alarm","/Main LBNL Campus/Building 71/First Floor/71-AHU-28","FC15_ALARM","Normal","" ,"","FC15_ALARM: FC #15: Temp rise across inactive heating coil has returned to normal at Building 71 / First Floor / 71-AHU-28 / FC15_ALARM.
FC15_ALARM: FC #15: Temp rise across inactive heating coil has returned to normal at Building 71 / First Floor / 71-AHU-28 / FC15_ALARM.
$Main LBNL Campus / Building 71 / First Floor / 71-AHU-28 / FC15_ALARM","" 
"38","7/23/2025 10:53:39","Not Required","Level 3 Alarm","/Main LBNL Campus/Building 71/First Floor/71-AHU-28","FC12_ALARM","Normal","" ,"","FC12_ALARM: FC #12: SAT too high has returned to normal at Building 71 / First Floor / 71-AHU-28 / FC12_ALARM.
FC12_ALARM: FC #12: SAT too high has returned to normal at Building 71 / First Floor / 71-AHU-28 / FC12_ALARM.
$Main LBNL Campus / Building 71 / First Floor / 71-AHU-28 / FC12_ALARM","" 
"39","7/23/2025 10:53:39","Not Required","Level 3 Alarm","/Main LBNL Campus/Building 71/First Floor/71-AHU-28","FC8_ALARM","Normal","" ,"","FC8_ALARM: FC #8: SAT and MAT should be approximately equal has returned to normal at Building 71 / First Floor / 71-AHU-28 / FC8_ALARM.
FC8_ALARM: FC #8: SAT and MAT should be approximately equal has returned to normal at Building 71 / First Floor / 71-AHU-28 / FC8_ALARM.
$Main LBNL Campus / Building 71 / First Floor / 71-AHU-28 / FC8_ALARM","" 
"40","7/23/2025 10:45:46","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 30/First Floor/Rm 118B Janitor/Storage/30-VAV-014 Supply","ZTMP_HI","Normal","" ,"","The zone temperature has returned to normal.
The zone temperature has returned to normal.
$Main LBNL Campus / Building 30 / First Floor / Rm 118B Janitor/Storage / 30-VAV-014 Supply / ZTMP_HI","" 
"41","7/23/2025 10:45:04","Not Required","Level 3 Alarm","/Main LBNL Campus/Building 30/Second Floor/Rm 207/30-VAV-072 Supply","ZTMP_LO","Normal","" ,"","The zone temperature has returned to normal.
The zone temperature has returned to normal.
$Main LBNL Campus / Building 30 / Second Floor / Rm 207 / 30-VAV-072 Supply / ZTMP_LO","" 
"42","7/23/2025 10:43:32","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 55/First Floor/55-BL-45, 46 (Lab CV Exhaust)","ESTP_HI","Normal","" ,"","ESTP_HI: High EA Static Pressure Alarm has returned to normal at Building 55 / First Floor / 55-BL-45, 46 (Lab CV Exhaust) / ESTP_HI.
ESTP_HI: High EA Static Pressure Alarm has returned to normal at Building 55 / First Floor / 55-BL-45, 46 (Lab CV Exhaust) / ESTP_HI.
$Main LBNL Campus / Building 55 / First Floor / 55-BL-45, 46 (Lab CV Exhaust) / ESTP_HI","" 
"43","7/23/2025 10:42:33","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 66/Second Floor/Lab 225/VAV-025 (Parent)","RMP_HI","Normal","" ,"","RMP_HI: High Room Pressure Alarm has returned to normal at Second Floor / Lab 225 / VAV-025 (Parent) / RMP_HI.
RMP_HI: High Room Pressure Alarm has returned to normal at Second Floor / Lab 225 / VAV-025 (Parent) / RMP_HI.
$Main LBNL Campus / Building 66 / Second Floor / Lab 225 / VAV-025 (Parent) / RMP_HI","" 
"44","7/23/2025 10:40:40","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 55/Roof/55-AC-50","SF_FAIL","Normal","" ,"","SF_FAIL: Supply Fan Failure Alarm has returned to normal at Building 55 / Roof / 55-AC-50 / SF_FAIL.
SF_FAIL: Supply Fan Failure Alarm has returned to normal at Building 55 / Roof / 55-AC-50 / SF_FAIL.
$Main LBNL Campus / Building 55 / Roof / 55-AC-50 / SF_FAIL","" 
"45","7/23/2025 10:36:49","Not Required","Level 3 Alarm","/Main LBNL Campus/Building 30/Second Floor/Rm 207/30-VAV-072 Supply","ZTMP_LO","Offnormal","" ,"00:08:15","The zone temperature is too cool.
The zone temperature is too cool.
Main LBNL Campus / Building 30 / Second Floor / Rm 207 / 30-VAV-072 Supply / ZTMP_LO","" 
"46","7/23/2025 10:36:05","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 71/Second Floor/71-AC-8","SF_FAIL","Normal","" ,"","SF_FAIL: Supply Fan Failure Alarm has returned to normal at Building 71 / Second Floor / 71-AC-8 / SF_FAIL.
SF_FAIL: Supply Fan Failure Alarm has returned to normal at Building 71 / Second Floor / 71-AC-8 / SF_FAIL.
$Main LBNL Campus / Building 71 / Second Floor / 71-AC-8 / SF_FAIL","" 
"47","7/23/2025 10:35:49","Not Required","Level 3 Alarm","/Main LBNL Campus/Building 70/Second Floor/70-209A CAV-6","ZONE_HI","Normal","" ,"","ZONE_HI: High Zone Temp Alarm has returned to normal at Building 70 / Second Floor / 70-209A CAV-6 / ZONE_HI.
ZONE_HI: High Zone Temp Alarm has returned to normal at Building 70 / Second Floor / 70-209A CAV-6 / ZONE_HI.
$Main LBNL Campus / Building 70 / Second Floor / 70-209A CAV-6 / ZONE_HI","" 
"48","7/23/2025 10:32:53","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 71/First Floor/71-AC-5","SF_FAIL","Normal","" ,"","SF_FAIL: Supply Fan Failure Alarm has returned to normal at Building 71 / First Floor / 71-AC-5 / SF_FAIL.
SF_FAIL: Supply Fan Failure Alarm has returned to normal at Building 71 / First Floor / 71-AC-5 / SF_FAIL.
$Main LBNL Campus / Building 71 / First Floor / 71-AC-5 / SF_FAIL","" 
"49","7/23/2025 10:27:17","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 70A/Roof/MSL Lab/70A-AHU-008 MSL Lab","SAT_LO","Normal","" ,"","SAT_LO: Low Supply Air Temp Alarm has returned to normal at Roof / MSL Lab / 70A-AHU-008 MSL Lab / SAT_LO.
SAT_LO: Low Supply Air Temp Alarm has returned to normal at Roof / MSL Lab / 70A-AHU-008 MSL Lab / SAT_LO.
$Main LBNL Campus / Building 70A / Roof / MSL Lab / 70A-AHU-008 MSL Lab / SAT_LO","" 
"50","7/23/2025 10:22:15","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 84/HW System Summary/BLR 84-BR-010","HWS_LO","Offnormal","" ,"00:57:34","HWS_LO: Low HWS Temp Alarm is active at Building 84 / HW System Summary / BLR 84-BR-010 / HWS_LO.
HWS_LO: Low HWS Temp Alarm is active at Building 84 / HW System Summary / BLR 84-BR-010 / HWS_LO.
Main LBNL Campus / Building 84 / HW System Summary / BLR 84-BR-010 / HWS_LO","" 
"51","7/23/2025 10:21:43","Not Required","Level 3 Alarm","/Main LBNL Campus/Building 70/Roof/70-ARU-009","COMM_INV","Offnormal","" ,"01:12:43","COMM_INV: Invalid Communications Alarm is active at Building 70 / Roof / 70-ARU-009 / COMM_INV.
COMM_INV: Invalid Communications Alarm is active at Building 70 / Roof / 70-ARU-009 / COMM_INV.
Main LBNL Campus / Building 70 / Roof / 70-ARU-009 / COMM_INV","" 
"52","7/23/2025 10:21:20","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 70/Second Floor/70-209 FH-8 (FH-0240)","COMM_VAL","Offnormal","" ,"01:09:48","COMM_VAL: Invalid Communications Alarm is active at Building 70 / Second Floor / 70-209 FH-8 (FH-0240) / COMM_VAL.
COMM_VAL: Invalid Communications Alarm is active at Building 70 / Second Floor / 70-209 FH-8 (FH-0240) / COMM_VAL.
Main LBNL Campus / Building 70 / Second Floor / 70-209 FH-8 (FH-0240) / COMM_VAL","" 
"53","7/23/2025 10:21:14","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 70/Second Floor/70-209 FH-7 (FH-0239)","COMM_VAL","Offnormal","" ,"01:09:58","COMM_VAL: Invalid Communications Alarm is active at Building 70 / Second Floor / 70-209 FH-7 (FH-0239) / COMM_VAL.
COMM_VAL: Invalid Communications Alarm is active at Building 70 / Second Floor / 70-209 FH-7 (FH-0239) / COMM_VAL.
Main LBNL Campus / Building 70 / Second Floor / 70-209 FH-7 (FH-0239) / COMM_VAL","" 
"54","7/23/2025 10:21:04","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 70/Second Floor/70-209 FH-6 (FH-0238)","COMM_VAL","Offnormal","" ,"01:10:09","COMM_VAL: Invalid Communications Alarm is active at Building 70 / Second Floor / 70-209 FH-6 (FH-0238) / COMM_VAL.
COMM_VAL: Invalid Communications Alarm is active at Building 70 / Second Floor / 70-209 FH-6 (FH-0238) / COMM_VAL.
Main LBNL Campus / Building 70 / Second Floor / 70-209 FH-6 (FH-0238) / COMM_VAL","" 
"55","7/23/2025 10:20:52","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 70/Second Floor/70-209 FH-5 (FH-0237)","COMM_VAL","Offnormal","" ,"01:10:22","COMM_VAL: Invalid Communications Alarm is active at Building 70 / Second Floor / 70-209 FH-5 (FH-0237) / COMM_VAL.
COMM_VAL: Invalid Communications Alarm is active at Building 70 / Second Floor / 70-209 FH-5 (FH-0237) / COMM_VAL.
Main LBNL Campus / Building 70 / Second Floor / 70-209 FH-5 (FH-0237) / COMM_VAL","" 
